title,avg_rating,genre
"The Brighton Miracle",9.5,Drama
"The Colour of Darkness",9.1,Drama
"The Blue Elephant 2",8.8,Drama
"The Blue Elephant 2",8.8,Horror
"The Blue Elephant 2",8.8,Mystery
"The Irishman",8.7,Crime
"The Irishman",8.7,Drama
"The Mystery of Godliness: The Sequel",8.5,Drama
"The Gambinos",8.4,Crime
"The Gambinos",8.4,Drama
"Theeran Adhigaaram Ondru",8.3,Action
"Theeran Adhigaaram Ondru",8.3,Crime
"Theeran Adhigaaram Ondru",8.3,Thriller
"The King and I",8.2,Drama
"The King and I",8.2,Romance
