actor_name,total_votes,movie_count,actor_avg_rating,actor_rank
"Vijay Sethupathi",23114,5,8.41673,1
"Fahadh Faasil",13557,5,7.98604,2
"Yogi Babu",8500,11,7.83018,3
"Joju George",3926,5,7.57967,4
"Ammy Virk",2504,6,7.55383,5
"Dileesh Pothan",6235,5,7.52133,6
"Kunchacko Boban",5628,6,7.48351,7
"Pankaj Tripathi",40728,5,7.43706,8
"Rajkummar Rao",42560,6,7.36701,9
"Dulquer Salmaan",17666,5,7.30087,10
"Amit Sadh",13355,5,7.21306,11
"Tovino Thomas",11596,8,7.14540,12
Mammootty,12613,8,7.04208,13
Nassar,4016,5,7.03312,14
"Karamjit Anmol",1970,6,6.90863,15
"Hareesh Kanaran",3196,5,6.57747,16
"Naseeruddin Shah",12604,5,6.53622,17
Anandraj,2750,6,6.53571,18
Mohanlal,17622,7,6.46746,19
"Aju Varghese",2237,5,6.43375,20
Siddique,5953,7,6.42565,21
"Prakash Raj",8548,6,6.37126,22
"Jimmy Sheirgill",3826,6,6.28772,23
"Mahesh Achanta",2716,6,6.21141,24
"Biju Menon",1916,5,6.21091,25
"Suraj Venjaramoodu",4284,6,6.18625,26
"Abir Chatterjee",1413,5,5.80078,27
"Sunny Deol",4594,5,5.70509,28
"Radha Ravi",1483,5,5.70223,29
"Prabhu Deva",2044,5,5.68014,30
"Atul Sharma",9604,5,4.78024,31
