genre,avg_duration,running_total_duration,moving_avg_duration
Action,112.8829,112.8829,112.88290000
Adventure,101.8714,214.7543,107.37715000
Comedy,102.6227,317.3770,105.79233333
Crime,107.0517,424.4287,103.84860000
Drama,106.7746,531.2033,105.48300000
Family,100.9669,632.1702,104.93106667
Fantasy,105.1404,737.3106,104.29396667
Horror,92.7243,830.0349,99.61053333
Mystery,101.8000,931.8349,99.88823333
Others,100.1600,1031.9949,98.22810000
Romance,109.5342,1141.5291,103.83140000
Sci-Fi,97.9413,1239.4704,102.54516667
Thriller,101.5761,1341.0465,103.01720000
